# Fixed HSP algorithms and optimized URS assumptions for 103 functions
# Optimization was done with regards to metric 'balanced_accuracy', based on 30 cross-validations
# Other listed parameters such as cv_test_pool, hsp_min_likelihood_for_presence & hsp_max_likelihood_for_absence have not been optimized, and simply specify the values used during cross validation.
# Listed metrics other than 'balanced_accuracy' are not optimized, and simply refer to the score achieved in that metric.
# Generated on: 2026-01-21 19:30:07.267117
# Used command: dependencies/faprotax.R -d dependencies/faprotax --mode optimize --omit_functions photosynthetic_cyanobacteria --NCV 30 --unknown_ref_states omit,absent --cv_test_pool config -c dependencies/faprotax/default_config.tsv --out_cv dependencies/faprotax/optimization_results -v --include_summary_comments
function	hsp_algorithm	unknown_ref_states	cv_test_pool	hsp_min_likelihood_for_presence	hsp_max_likelihood_for_absence	true_positive_rate	true_negative_rate	accuracy	balanced_accuracy	abs_bias	rel_bias	MCC
acetate_oxidation	empirical_probabilities	omit	known	0.50000001	0.49999999	0.78317365898622	0.703804942443615	0.741204933974293	0.743489300714918	0.040868581270168	0.0830693366621659	0.484889934097607
acetoclastic_methanogenesis	empirical_probabilities	absent	known	0.50000001	0.49999999	0.892939244663383	0.99988734033734	0.999725034370704	0.946417814801537	-4.99937507811524e-05	Inf	0.898798775904712
aerobic_ammonia_oxidation	nearest_neighbor	omit	known	0.50000001	0.49999999	0.824858276643991	0.995858513956834	0.992011019283747	0.91028880588659	0.00247933884297521	Inf	0.756180666853802
aerobic_anoxygenic_phototrophy	Markov	absent	known	0.50000001	0.49999999	0	0.999760944956724	0.997854406130268	0.499837007925039	-0.00168582375478927	-0.886363636363636	-0.00262353737454764
aerobic_chemoheterotrophy	Markov	omit	known	0.50000001	0.49999999	0.982504801180804	0.949053574985836	0.970917573872473	0.96577918808332	0.00300673924313116	0.00405116246209757	0.923133514400734
aerobic_nitrite_oxidation	nearest_neighbor	absent	effective	0.50000001	0.49999999	0	0.999913680658855	0.999779086892489	0.5	-4.90918016691213e-05	Inf	NA
alcohol_fermentation	Markov	omit	known	0.50000001	0.49999999	0.864022253586047	0.983756834440492	0.97431693989071	0.92388954401327	0.00754098360655738	0.117529954104446	0.805095964308243
alginate_degradation	nearest_neighbor	omit	known	0.50000001	0.49999999	0.531798445458146	0.842414829352928	0.79247311827957	0.687106637405537	0.0261648745519713	0.16646694337845	0.367766830137883
aliphatic_non_methane_hydrocarbon_degradation	empirical_probabilities	omit	known	0.50000001	0.49999999	0.952762935572028	0.922121397121397	0.951498965835324	0.937442166346713	0.00863883548228415	0.0252641742502424	0.901333963089401
anaerobic_chemoheterotrophy	empirical_probabilities	omit	known	0.50000001	0.49999999	0.8376502486911	0.934550982722455	0.89055907782483	0.886100615706778	-0.0305062008290348	-0.0705288666559971	0.776589210749806
anammox	binomial	omit	known	0.50000001	0.49999999	1	1	1	1	0	0	1
animal_parasites_or_symbionts	Markov	absent	effective	0.50000001	0.49999999	0.609746037255217	0.965413083761954	0.948024054982818	0.787579560508585	0.0144698085419735	0.306476480926777	0.508045085162265
