# Fixed HSP algorithms and optimized URS assumptions for 103 functions												
# Optimization was done with regards to metric 'balanced_accuracy', based on 20 cross-validations												
# Other listed parameters such as cv_test_pool, hsp_min_likelihood_for_presence & hsp_max_likelihood_for_absence have not been optimized, and simply specify the values used during cross validation.												
# Listed metrics other than 'balanced_accuracy' are not optimized, and simply refer to the score achieved in that metric.												
# Generated on: 2026-01-21 19:08:10.399305												
# Used command: dependencies/faprotax.R -d dependencies/faprotax --mode optimize --omit_functions photosynthetic_cyanobacteria --NCV 20 --unknown_ref_states omit,absent --cv_test_pool config -c dependencies/faprotax/default_config.tsv --out_cv dependencies/faprotax/optimization_results -v --include_summary_comments												
function	hsp_algorithm	unknown_ref_states	cv_test_pool	hsp_min_likelihood_for_presence	hsp_max_likelihood_for_absence	true_positive_rate	true_negative_rate	accuracy	balanced_accuracy	abs_bias	rel_bias	MCC
acetate_oxidation	empirical_probabilities	omit	known	0.50000001	0.49999999	0.781278215	0.720227164	0.747545967	0.750752689	0.03061726	0.061404996	0.495983294
acetoclastic_methanogenesis	empirical_probabilities	absent	known	0.50000001	0.49999999	0.906666667	0.999812129	0.999625047	0.953239398	-2.71E-21	0.070833333	0.880511665
aerobic_ammonia_oxidation	nearest_neighbor	absent	known	0.50000001	0.49999999	0.781652661	0.995807673	0.990909091	0.88901273	0.002892562	Inf	0.718722509
aerobic_anoxygenic_phototrophy	Markov	absent	known	0.50000001	0.49999999	0	0.999881517	0.99862069	0.499881517	-0.001149425	-0.9	-0.002304147
aerobic_chemoheterotrophy	Markov	omit	known	0.50000001	0.49999999	0.983553127	0.942268217	0.969362364	0.962910672	0.006143079	0.008284277	0.919018466
aerobic_nitrite_oxidation	nearest_neighbor	absent	effective	0.50000001	0.49999999	0	1	0.998398577	0.5	-0.001601423	-1	NA
alcohol_fermentation	Markov	omit	known	0.50000001	0.49999999	0.874806404	0.985569154	0.977377049	0.930187779	0.006721311	0.109335982	0.82048697
alginate_degradation	nearest_neighbor	absent	known	0.50000001	0.49999999	0.488267875	0.872321974	0.806451613	0.680294924	-0.007526882	-0.030235011	0.378287288
aliphatic_non_methane_hydrocarbon_degradation	empirical_probabilities	absent	known	0.50000001	0.49999999	0.9290353	0.940305001	0.948110818	0.934670151	-0.005845506	-0.013833514	0.893133086
anaerobic_chemoheterotrophy	empirical_probabilities	omit	known	0.50000001	0.49999999	0.843547038	0.929050863	0.890350789	0.88629895	-0.024474445	-0.056932383	0.775645491
anammox	binomial	absent	known	0.50000001	0.49999999	1	1	1	1	0	0	1
animal_parasites_or_symbionts	Markov	absent	effective	0.50000001	0.49999999	0.601182459	0.96584604	0.948784978	0.78351425	0.014322533	0.316636646	0.49827225
anoxygenic_photoautotrophy	Markov	absent	known	0.50000001	0.49999999	0.842001104	0.993186105	0.984259259	0.917593605	-0.003518519	-0.053770416	0.858768664
anoxygenic_photoautotrophy_Fe_oxidizing	binomial	absent	effective	0.50000001	0.49999999	0	1	0.998809524	0.5	-0.001190476	-1	NA
anoxygenic_photoautotrophy_H2_oxidizing	Markov	absent	known	0.50000001	0.49999999	0.80702381	0.98438095	0.981226054	0.89570238	0.010344828	0.550416667	0.664797867
anoxygenic_photoautotrophy_S_oxidizing	Markov	absent	known	0.50000001	0.49999999	0.908433291	0.989395962	0.985205993	0.948914626	0.005430712	0.109208275	0.856310338
aromatic_compound_degradation	Markov	absent	known	0.50000001	0.49999999	0.950840312	0.793715447	0.900689655	0.87227788	0.022068966	0.028283349	0.694985196
aromatic_hydrocarbon_degradation	Markov	absent	known	0.50000001	0.49999999	0.822385569	0.756614872	0.8125	0.78950022	0.031730769	0.091488734	0.626780091
arsenate_detoxification	binomial	absent	effective	0.50000001	0.49999999	0	1	0.99	0.5	-0.01	-1	NA
arsenate_respiration	binomial	omit	known	0.50000001	0.49999999	0.559543651	0.993843495	0.989384289	0.776693573	0.001273885	0.338630952	0.513070976
arsenite_oxidation_detoxification	binomial	absent	effective	0.50000001	0.49999999	0	1	0.993333333	0.5	-0.006666667	-1	NA
arsenite_oxidation_energy_yielding	binomial	absent	effective	0.50000001	0.49999999	0	1	0.994927536	0.5	-0.005072464	-1	NA
cellulolysis	nearest_neighbor	absent	known	0.50000001	0.49999999	0.425815109	0.861524479	0.784782609	0.643669794	0.006187291	0.042065136	0.287457654
chemoheterotrophy	Markov	omit	known	0.50000001	0.49999999	0.981481426	0.879542765	0.975790833	0.930512096	-0.0116204	-0.012011092	0.679213486
chitinolysis	binomial	absent	known	0.50000001	0.49999999	0.442561382	0.902034235	0.825721154	0.672297809	-0.016586538	-0.080427833	0.362503824
chlorate_reducers	Markov	absent	known	0.50000001	0.49999999	0.787037037	0.784313725	0.933333333	0.783333333	0.013333333	Inf	0.746263284
chloroplasts	Markov	absent	known	0.50000001	0.49999999	0.09	0.999065653	0.996571958	0.544532826	-0.001575046	-0.66047619	0.251511213
collagen_degradation	empirical_probabilities	absent	known	0.50000001	0.49999999	0.686064214	0.972896303	0.891232079	0.829480258	0.003000919	0.056859668	0.615321174
dark_hydrogen_oxidation	Markov	omit	known	0.50000001	0.49999999	0.876826242	0.963392501	0.944274809	0.920109372	-0.002290076	-0.009806758	0.847285662
dark_iron_oxidation	binomial	absent	known	0.50000001	0.49999999	0.780833333	0.964805517	0.942105263	0.872819425	0.007894737	0.293333333	0.706982381
dark_oxidation_of_sulfur_compounds	empirical_probabilities	absent	known	0.50000001	0.49999999	0.795040619	0.957299338	0.892631422	0.876169978	-0.020190032	-0.048679631	0.74799424
dark_sulfide_oxidation	nearest_neighbor	absent	known	0.50000001	0.49999999	0.869899684	0.959252724	0.939215686	0.914576204	0.017647059	0.137380397	0.786839397
dark_sulfite_oxidation	nearest_neighbor	absent	known	0.50000001	0.49999999	0.676190476	0.996047145	0.984210526	0.836337868	0.003947368	Inf	0.699115907
dark_sulfur_oxidation	Markov	absent	known	0.50000001	0.49999999	0.796995782	0.955660519	0.940594059	0.87632815	0.018811881	0.184536505	0.699808978
dark_thiosulfate_oxidation	nearest_neighbor	absent	known	0.50000001	0.49999999	0.82759444	0.971590767	0.947685185	0.899592604	0.002314815	0.03315685	0.788743813
dissimilatory_arsenate_reduction	empirical_probabilities	absent	effective	0.50000001	0.49999999	0	1	0.98125	0.5	-0.01875	-1	NA
dissimilatory_arsenite_oxidation	nearest_neighbor	absent	effective	0.50000001	0.49999999	0	1	0.9875	0.5	-0.0125	-1	NA
facultative_anaerobes	Markov	omit	known	0.50000001	0.49999999	0.829532124	0.893867348	0.873444284	0.861699736	0.021201158	0.069469182	0.710078976
fermentation	empirical_probabilities	omit	known	0.50000001	0.49999999	0.820863767	0.871848246	0.845953709	0.846356007	-0.024405908	-0.049082028	0.692610815
fish_parasites	empirical_probabilities	absent	effective	0.50000001	0.49999999	0	1	0.999558052	0.5	-0.000441948	-1	NA
fumarate_respiration	Markov	omit	known	0.50000001	0.49999999	0.697785642	0.977748379	0.962235067	0.837767011	0.00982659	0.253912107	0.611409165
gelatin_degradation	empirical_probabilities	absent	known	0.50000001	0.49999999	0.696600046	0.782479045	0.74738018	0.739539546	-0.003314685	-0.007350669	0.481758582
human_associated	Markov	absent	effective	0.50000001	0.49999999	0.529378098	0.949209114	0.925018409	0.739293606	0.020931517	0.371327369	0.41371308
human_gut	Markov	absent	effective	0.50000001	0.49999999	0.444062939	0.980715638	0.971925626	0.712389288	0.009885862	0.629976598	0.336713521
human_pathogens_all	Markov	absent	effective	0.50000001	0.49999999	0.270401418	0.989080157	0.975220913	0.629740787	-0.003424153	-0.105103766	0.262779354
human_pathogens_diarrhea	nearest_neighbor	absent	effective	0.50000001	0.49999999	0.485588972	1	0.919047619	0.742794486	-0.052380952	-0.352130326	0.676314306
human_pathogens_gastroenteritis	binomial	absent	effective	0.50000001	0.49999999	0.40625	1	0.94	0.703125	-0.045	Inf	0.687305717
