# Collapsed table './output/gene_annotation/gene_annotation_in_coassemblies_by_all/gene_vs_sample_table.tsv.gz'
# Generated on: 2025.12.28 06:12:27
# Used command:
#   ./dependencies/collapse_table.py -i ./output/gene_annotation/gene_annotation_in_coassemblies_by_all/gene_vs_sample_table.tsv.gz -g ./output/gene_annotation/gene_annotation_in_coassemblies_by_all/functional_groups.txt -o ./output/gene_annotation/gene_annotation_in_coassemblies_by_all/genes_collapsed_by_function/function_vs_sample_table.tsv -r ./output/gene_annotation/gene_annotation_in_coassemblies_by_all/genes_collapsed_by_function/report.txt --out_sub_tables_dir ./output/gene_annotation/gene_annotation_in_coassemblies_by_all/genes_collapsed_by_function/sub_tables_per_function --out_group_definitions_used ./output/gene_annotation/gene_annotation_in_coassemblies_by_all/genes_collapsed_by_function/used_group_definitions.tsv --row_names_are_in_column sample --collapse_columns_instead_of_rows --column_names_are_in first_data_line --normalize_collapsed none -f -v --verbose_prefix '    ' --group_title function --group_members_defined_as wildcards --output_format_collapsed classical --output_format_group_overlaps classical --omit_unrepresented_groups --include_summary_comments --average none --data_title sample --allow_duplicate_groups --out_groups2Nrecords_table ./output/gene_annotation/gene_annotation_in_coassemblies_by_all/genes_collapsed_by_function/Ngenes_per_function.tsv
#
# Summary:
#   Loaded 68 groups comprising 1104 members (994 unique members)
#   Established 893 assignments of records to groups
#   7872 out of 8471 records could not be assigned to any group (leftovers)
#   Number of groups represented: 62
#
sample	nitritation_HAO	dissimilatory_nitrate_oxidoreduction_to_nitrite_narGH	dissimilatory_nitrite_reduction_to_ammonium	nitrate_respiration	nitrite_respiration	denitrification_norBC	denitrification_nosZ	nitrate_reduction	nitrogen_assimilation	dissimilatory_nitrogen_metabolism	nitrogen_respiration	sulfate_sulfide_oxidoreduction_aprAB	sulfate_sulfide_oxidoreduction_dsrAB	dissimilatory_sulfate_sulfide_oxidoreduction	sulfide_oxidation_fcc_sqr	thiosulfate_reduction_to_sulfide	sulfite_oxidation_to_sulfate	sulfate_transport	thiosulfate_oxidation_sox	dissimilatory_sulfur_metabolism	oxygen_respiration_cox	heterotrophy_PTS	methanol_oxidation	pmoABC_amoABC	methylotrophy	methanogenic_or_sulfate_reducing_hdr	methanogenesis	carbon_monoxide_oxidation	xylanolysis	cellulolysis	chitinolysis	ligninolysis	mannanolysis	carbon_fixation	anaplerotic_carbon_fixation	ureolysis_uca	ureolysis	aromatic_hydrocarbon_degradation	plastics_degradation	oxygenic_photosynthesis	anoxygenic_phototrophy	photosynthesis	phototrophy	nitrogen_fixation	selenate_reduction	nitrite_nitrate_transport	toluene_degradation	aromatic_compound_degradation	plant_pathogenicity_xanthomonas	arsenate_detoxification	arsenite_oxidation	hydrogen_oxidoreduction	fermentation	fumarate_respiration	reductive_acetogenesis	oxidative_phosphorylation	glucose_transporters	monosaccharide_ABC_transporters	oligosaccharide_polyol_and_lipid_ABC_transporters	monosaccharide_oligosaccharide_polyol_and_lipid_ABC_transporters	recA_DNA_repair	antibiotic_resistance
Brm01	0	0	0	0	0	0	0	0	0.0001730140012	0	0	0	0	0	0	0	0	0	0	0	2.932891259e-05	0	0	0	0.0001367018367	0.0003174575113	0.001058735791	0	1.594892472e-05	0	0	0	0	9.543746298e-05	9.165745518e-05	0	0	0	0	0	2.831655165e-05	0	2.831655165e-05	0.0003422169846	0	0	0	9.794943683e-05	0	6.490422111e-06	0	0	0.0003089831356	0	0.0006043779095	0.001173599657	0	0	3.600155807e-05	3.600155807e-05	2.309474583e-05	0
Brm02	0	0	0	0	0	9.690386898e-05	0	0	0.0001993322018	9.690386898e-05	9.690386898e-05	0	0	0	0	0	0	2.268474668e-05	0	0	0.0003203943616	0.0001730200065	0	0	3.555205324e-05	0.0001062795214	0.0001398827007	2.469746617e-05	0.0001785191508	4.319487477e-05	0	0	4.204659393e-05	0.0002599151509	0.0002607969179	0	0	3.63288129e-05	0	0	2.958339027e-05	0	2.958339027e-05	0.0001111888162	0	2.919406411e-05	0	5.904621139e-05	0	5.090807503e-05	3.186607246e-05	0.0001805936409	0.0001871571864	0	3.812623236e-05	0.001935347705	3.13925582e-05	0.0001804017117	0.000252974168	0.0004333758797	0.000134980661	0.0001194287775
Fec01	0	0.0001114957158	8.779513478e-05	0.0002400342438	0.0001147209494	2.140089681e-05	0	0.0002400516682	0.000555125068	0.00037615609	0.00037615609	0	0	0	0.0001181605841	0	2.812547996e-07	0.0002446067227	3.228972732e-06	0.0001216708116	0.001055925914	0.002210534032	0	0	0	4.71905515e-06	0	1.665682132e-06	7.08695245e-05	0.0001599763003	8.957077974e-05	1.064887637e-05	0.0001069288172	0.0002726753533	0.0002739070412	4.685153707e-08	0.0002399496831	5.589729991e-05	0	2.58743007e-06	0	2.627956676e-06	2.627956676e-06	8.798633961e-07	4.681934579e-05	9.503635614e-05	0	0.0005169175306	7.279235053e-06	0.0001758436714	0	5.571297431e-07	0.000445809652	5.199950075e-05	7.299724566e-07	0.00456836613	0.0001593329876	0.0009693135622	0.00127779022	0.002185045354	0.0001324120507	0.0006998790716
Fec02	0	0.0001439288826	0.0001105747774	0.0002799450655	0.0001321580315	2.230363406e-05	0	0.0003275757273	0.0005669020033	0.000434406731	0.000434406731	0	0	0	7.404105412e-05	2.197135162e-06	3.774522465e-06	0.0002331459379	2.836714089e-05	0.0001083798526	0.0008304842444	0.001202441447	0	0	0	3.319077374e-06	0	0.0001238208508	1.025233319e-05	2.197381083e-05	3.304582032e-05	6.738678562e-05	8.562622723e-05	0.0002405955836	0.0002776293675	2.921962722e-05	0.0002236480012	0.0002761162341	9.28052178e-06	0	0	5.98959048e-05	5.98959048e-05	0	5.875925463e-06	0.0001349185264	2.091930237e-06	0.001118834103	3.912073888e-06	0.0002224162781	0	0	0.0006035183089	1.009833462e-05	6.563564525e-06	0.004470189635	4.79727285e-05	0.0008052526559	0.003675554013	0.004300663326	0.0001633966142	0.000957049697
Fec03	0	0	0	0	0	0	0	0	0.0005239299067	0	0	2.072396524e-06	0	2.072396524e-06	1.349107279e-06	0	0	2.917132307e-06	0	3.421503803e-06	0.000111352472	0.0002429192573	0	0	0	5.770061009e-05	7.3540969e-06	0	6.226868496e-05	8.288047577e-05	6.07870065e-05	0	0.00028965062	0.0001119945717	1.57132255e-06	0	9.706772212e-07	0	0	0	0	0	0	0	1.116527804e-05	0	0	9.872005493e-05	0	7.653899211e-06	0	0	0.0004514137719	0	4.761681908e-06	0.001537000294	2.593920256e-07	9.788214312e-05	0.0003348283032	0.0004079588111	0.0002151224845	0.0003767543078
Fec04	0	0	9.246704488e-06	3.606110016e-06	9.246704488e-06	0	0	3.606110016e-06	0.0006860267255	1.28528145e-05	1.28528145e-05	2.070609322e-06	1.882913398e-05	2.08997433e-05	2.582674484e-06	1.729350752e-06	0	5.346426879e-07	0	2.521176854e-05	0.0001306357773	0.005501992613	0	0	0	3.469087869e-05	0	0	0.0001805714543	2.716732958e-05	3.245043176e-05	0	0.0002540508504	0.0003662815215	8.372639573e-05	0	0.0001462721702	0	0	0	0	0	0	1.936641151e-05	4.985467246e-05	2.720570374e-06	0	5.236042749e-05	0	0.0001763531141	0	1.121596543e-06	0.0008358318266	0	0.0001325343624	0.006011615057	0	0.002123120238	0.003371367095	0.005236834391	0.0002848617547	0.001922682509
Hot01	0	0	5.392024676e-06	0	5.392024676e-06	0	1.943105291e-06	0	0.000347083072	7.335129967e-06	7.335129967e-06	0	0	0	4.929358224e-05	0	0	4.94422628e-05	2.13935841e-05	7.068716634e-05	0.000824703137	0.0001453289198	0	0	0	4.272205511e-05	0	2.593436328e-05	2.420874437e-05	1.264847377e-05	0	0	1.655144429e-05	0.0007124079372	0.0005296759386	1.428789244e-05	1.587422854e-05	1.443830295e-05	0	0.000677077157	0.0002659559606	0.001085564141	0.001351520101	6.870645259e-05	0	4.664315464e-05	0	0.0001158927248	5.754422035e-06	0.0002319139976	2.431242693e-06	8.806665714e-05	0.0004864614481	4.316368342e-07	0	0.004995785738	2.765626676e-05	0.0002369974218	0.0009996055496	0.001111559357	0.0003032312742	0.0003257368603
Hot02	0	0	1.051779398e-05	0	1.051779398e-05	1.212223878e-06	4.355586415e-07	0	0.0005019193673	1.21655765e-05	1.21655765e-05	0	0	0	0.0001222468963	0	0	3.082408127e-05	1.088635914e-06	0.0001233355322	0.0006618181262	4.951270573e-05	0	0	0	0.0002169079902	0	0.0001113072778	1.641384201e-05	1.988070279e-05	0	0	3.680857981e-05	0.0007966717808	0.0005267885263	3.699874832e-06	6.819147816e-05	1.384446188e-06	0	0.0007200343848	0.0001952722119	0.001037720723	0.001232992935	0.0002178765954	0	5.483680979e-05	0	0.0001380502975	1.010834665e-06	0.000103228896	3.942814175e-05	0.0002864274684	0.0004937929002	0	0	0.004581901209	4.951783194e-05	0.0004018159597	0.0004638524781	0.0007990733847	0.0001695804117	0.0004154265608
Hot03	0	1.857147328e-05	0.0001336624563	3.569113522e-05	0.0001340453982	0	6.191640414e-05	4.974429092e-05	0.0004454626964	0.0002316529376	0.0002316529376	0	5.434891975e-08	5.434891975e-08	0.0001671752743	0	0	2.854144875e-05	7.844284913e-05	0.0002456724724	0.001603341887	0.000500331626	0	0	0	1.5448148e-07	0	0.0001291211636	4.279053232e-05	8.001401114e-05	0	0	0.0001710557758	0.000479529525	0.0003759722338	6.524099069e-05	7.188629714e-05	1.291503451e-05	1.758925689e-06	0.000286635919	0.0007279331149	0.0005326080334	0.001260541148	9.952912493e-06	0	0.0002355319405	0	0.0001512495437	9.369736079e-06	0.0002539732823	6.570559822e-07	1.204664492e-06	0.001002717719	7.932340759e-06	0	0.009231015085	1.24986055e-06	0.0001580567401	0.001692130099	0.001723538621	0.0002919929746	0.0005147077941
Hot04	0	0	0	0	0	0	5.555765491e-06	0	0.0003109211024	5.555765491e-06	5.555765491e-06	0	0	0	6.436981508e-05	0	0	7.06460259e-06	9.913160915e-06	7.4282976e-05	0.0008630505977	0.00023008403	0	0	0	7.524635676e-07	0	1.656084169e-05	2.538497071e-05	1.112081335e-05	0	0	1.12194301e-05	0.0006560119851	0.0005053541271	6.144813365e-07	1.087093382e-05	4.436132235e-06	2.488056374e-06	0.0002678799123	0.0003017363142	0.0005864090205	0.0008881453347	1.256774716e-05	0	1.417446073e-05	0	0.0002442044474	2.074450313e-05	0.000163941384	1.248348896e-06	5.44439947e-05	0.0003566937371	3.712689575e-07	0	0.005289481814	1.236993524e-05	5.622487168e-05	0.0009533228534	0.001002731258	0.0002596427663	0.0003589162787
