# Table created by editing the following input table: output/ASV_taxonomic_assignments/ASV_tax_assignments.tsv
# Used command:  dependencies/edit_table_basic.py -v -i output/ASV_taxonomic_assignments/ASV_tax_assignments.tsv --column_names_are_in first_data_line --row_names_are_in_column ASV -o output/ASV_taxonomic_assignments/prokaryotic_ASVs.tsv --processing_order f --omit_rows_by_data 'taxonomy:*\;Chloroplast*,*\;Mitochondria*,Unassigned' --include_comments_in_output --save_output_row_names_under_column ASV --save_output_column_names_in last_comment_line
# Generated on: 2025.12.23 10:10:00
#
# ASV	taxonomy
ASV.1	Archaea;Methanobacteriota;Methanobacteria;Methanobacteriales;Methanobacteriaceae;Methanobacterium
ASV.10	Bacteria;Sva0485;Incertae Sedis;Incertae Sedis;Incertae Sedis;Incertae Sedis
ASV.100	Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Rhodomicrobiaceae;Rhodomicrobium;uncultured bacterium
ASV.1000	Bacteria;Chloroflexota;Anaerolineae;Aggregatilineales;Aggregatilineaceae;Incertae Sedis;uncultured bacterium
ASV.10000	Bacteria;Sumerlaeota;Sumerlaeia;Sumerlaeales;Sumerlaeaceae;Sumerlaea
ASV.10001	Bacteria;Cyanobacteriota;Cyanobacteriia;Phormidesmiales;Nodosilineaceae
ASV.10002	Bacteria;Cyanobacteriota;Cyanobacteriia;Cyanobacteriales;Microcystaceae
ASV.10003	Bacteria;Chloroflexota;Anaerolineae;Anaerolineales;Anaerolineaceae;Incertae Sedis
ASV.10004	Bacteria;Latescibacterota;Latescibacteria;Latescibacterales;Latescibacteraceae;Incertae Sedis
ASV.10005	Bacteria;Bacillota;Clostridia;Peptostreptococcales-Tissierellales;Clostridiisalibacteraceae;Clostridiisalibacter;Clostridium sp. AN-AS6E
ASV.10006	Bacteria;Pseudomonadota;Gammaproteobacteria;Steroidobacterales;Steroidobacteraceae;Incertae Sedis
ASV.10007	Bacteria;Verrucomicrobiota;Lentisphaeria;Oligosphaerales;Lenti-02;Incertae Sedis;uncultured organism
ASV.10008	Bacteria
ASV.10009	Bacteria;Verrucomicrobiota;Kiritimatiellia;113B434;Incertae Sedis;Incertae Sedis;uncultured bacterium
ASV.1001	Bacteria;Verrucomicrobiota;Verrucomicrobiia;Chthoniobacterales
ASV.10010	Bacteria;Actinomycetota;Actinobacteria;Nitriliruptorales;Nitriliruptoraceae;Incertae Sedis
ASV.10011	Bacteria;Pseudomonadota;Gammaproteobacteria
