sample_type	Trait	FAPROTAX v1	FAPROTAX2-mapper
Alkaline lake	aerobic_chemoheterotrophy	154	994
Alkaline lake	anoxygenic_photoautotrophy	4	32
Alkaline lake	anoxygenic_photoautotrophy_S_oxidizing	4	26
Alkaline lake	chemoheterotrophy	358	2982
Alkaline lake	dark_hydrogen_oxidation	64	1377
Alkaline lake	dark_oxidation_of_sulfur_compounds	5	9
Alkaline lake	dark_sulfide_oxidation	5	32
Alkaline lake	dark_sulfur_oxidation	5	110
Alkaline lake	fermentation	95	1938
Alkaline lake	hydrocarbon_degradation	1	1
Alkaline lake	hydrogenotrophic_methanogenesis	1	1
Alkaline lake	intracellular_parasites	6	8
Alkaline lake	methanogenesis	1	3
Alkaline lake	methanogenesis_by_CO2_reduction_with_H2	1	28
Alkaline lake	methanol_oxidation	3	294
Alkaline lake	methylotrophy	3	45
Alkaline lake	nitrate_reduction	9	470
Alkaline lake	nitrate_respiration	6	142
Alkaline lake	nitrogen_respiration	6	118
Alkaline lake	oxygenic_photoautotrophy	34	34
Alkaline lake	photoautotrophy	38	64
Alkaline lake	photoheterotrophy	3	67
Alkaline lake	phototrophy	41	183
Alkaline lake	reductive_acetogenesis	5	61
Alkaline lake	respiration_of_sulfur_compounds	373	1770
Alkaline lake	sulfate_respiration	195	519
Alkaline lake	sulfite_respiration	72	1532
Alkaline lake	sulfur_respiration	180	1610
Alkaline lake	thiosulfate_respiration	239	1523
Alkaline lake	aerobic_anoxygenic_phototrophy		51
Alkaline lake	aerobic_nitrite_oxidation		79
Alkaline lake	aliphatic_non_methane_hydrocarbon_degradation		1
Alkaline lake	animal_parasites_or_symbionts		189
Alkaline lake	aromatic_hydrocarbon_degradation		31
Alkaline lake	cellulolysis		133
Alkaline lake	chitinolysis		20
Alkaline lake	chlorate_reducers		4
Alkaline lake	dark_thiosulfate_oxidation		33
Alkaline lake	human_associated		83
Alkaline lake	human_gut		594
Alkaline lake	human_pathogens_all		7
Alkaline lake	human_pathogens_pneumonia		4
Alkaline lake	invertebrate_parasites		9
Alkaline lake	mammal_gut		639
Alkaline lake	methanogenesis_by_reduction_of_methyl_compounds_with_H2		1
Alkaline lake	methanotrophy		1
Alkaline lake	nitrification		79
Alkaline lake	nitrite_respiration		266
Alkaline lake	nitrogen_fixation		38
Alkaline lake	plant_pathogen		8
Alkaline lake	ureolysis		76
Alkaline lake	xylanolysis		2059
Bromeliad	acetoclastic_methanogenesis	1	2
Bromeliad	aerobic_chemoheterotrophy	55	476
Bromeliad	animal_parasites_or_symbionts	1	60
Bromeliad	cellulolysis	1	60
Bromeliad	chemoheterotrophy	88	683
Bromeliad	dark_hydrogen_oxidation	4	185
Bromeliad	fermentation	9	205
Bromeliad	human_associated	1	49
Bromeliad	human_pathogens_all	1	7
Bromeliad	hydrocarbon_degradation	3	4
Bromeliad	hydrogenotrophic_methanogenesis	7	5
Bromeliad	intracellular_parasites	7	8
Bromeliad	iron_respiration	1	
Bromeliad	methanogenesis	9	8
Bromeliad	methanogenesis_by_CO2_reduction_with_H2	4	18
Bromeliad	methanogenesis_by_disproportionation_of_methyl_groups	1	4
Bromeliad	methanogenesis_by_reduction_of_methyl_compounds_with_H2	3	4
Bromeliad	methanotrophy	2	6
Bromeliad	methylotrophy	5	37
Bromeliad	nitrate_reduction	6	258
Bromeliad	nitrate_respiration	3	61
Bromeliad	nitrite_respiration	1	86
Bromeliad	nitrogen_fixation	4	89
Bromeliad	nitrogen_respiration	3	43
Bromeliad	oxygenic_photoautotrophy	1	2
Bromeliad	photoautotrophy	1	16
Bromeliad	photoheterotrophy	1	95
Bromeliad	phototrophy	2	104
Bromeliad	respiration_of_sulfur_compounds	23	205
Bromeliad	sulfate_respiration	23	27
Bromeliad	ureolysis	3	62
Bromeliad	aerobic_ammonia_oxidation		6
Bromeliad	aerobic_anoxygenic_phototrophy		34
Bromeliad	aerobic_nitrite_oxidation		2
Bromeliad	aliphatic_non_methane_hydrocarbon_degradation		2
Bromeliad	anoxygenic_photoautotrophy		34
Bromeliad	anoxygenic_photoautotrophy_S_oxidizing		61
Bromeliad	aromatic_hydrocarbon_degradation		14
Bromeliad	chitinolysis		10
Bromeliad	chlorate_reducers		4
Bromeliad	dark_iron_oxidation		2
Bromeliad	dark_oxidation_of_sulfur_compounds		3
Bromeliad	dark_sulfur_oxidation		24
Bromeliad	human_gut		58
Bromeliad	human_pathogens_pneumonia		2
Bromeliad	invertebrate_parasites		4
Bromeliad	mammal_gut		60
Bromeliad	methanol_oxidation		96
Bromeliad	nitrification		6
Bromeliad	plant_pathogen		2
Bromeliad	reductive_acetogenesis		30
Bromeliad	sulfite_respiration		193
Bromeliad	sulfur_respiration		244
Bromeliad	thiosulfate_respiration		144
Bromeliad	xylanolysis		337
Freshwater and sediment	aerobic_ammonia_oxidation	8	38
Freshwater and sediment	aerobic_chemoheterotrophy	850	6646
Freshwater and sediment	aerobic_nitrite_oxidation	1	112
Freshwater and sediment	aliphatic_non_methane_hydrocarbon_degradation	2	2
Freshwater and sediment	animal_parasites_or_symbionts	13	172
Freshwater and sediment	aromatic_hydrocarbon_degradation	2	254
Freshwater and sediment	cellulolysis	24	423
Freshwater and sediment	chemoheterotrophy	1550	7948
Freshwater and sediment	chitinolysis	3	105
Freshwater and sediment	chlorate_reducers	6	206
Freshwater and sediment	dark_hydrogen_oxidation	18	1629
Freshwater and sediment	dark_iron_oxidation	20	21
Freshwater and sediment	fermentation	118	1330
Freshwater and sediment	fumarate_respiration	1	
Freshwater and sediment	human_associated	13	158
Freshwater and sediment	human_pathogens_all	13	44
Freshwater and sediment	human_pathogens_pneumonia	3	10
Freshwater and sediment	hydrocarbon_degradation	23	22
Freshwater and sediment	hydrogenotrophic_methanogenesis	4	1
Freshwater and sediment	intracellular_parasites	20	45
Freshwater and sediment	invertebrate_parasites	3	2
Freshwater and sediment	iron_respiration	9	1
Freshwater and sediment	methanogenesis	4	5
Freshwater and sediment	methanogenesis_by_CO2_reduction_with_H2	4	69
Freshwater and sediment	methanogenesis_by_disproportionation_of_methyl_groups	2	2
Freshwater and sediment	methanol_oxidation	38	1139
Freshwater and sediment	methanotrophy	21	17
Freshwater and sediment	methylotrophy	59	675
Freshwater and sediment	nitrate_reduction	64	2598
Freshwater and sediment	nitrate_respiration	37	951
Freshwater and sediment	nitrification	9	150
Freshwater and sediment	nitrogen_respiration	37	682
Freshwater and sediment	oxygenic_photoautotrophy	50	50
Freshwater and sediment	photoautotrophy	50	535
Freshwater and sediment	photoheterotrophy	43	1009
Freshwater and sediment	phototrophy	93	1494
Freshwater and sediment	reductive_acetogenesis	2	49
Freshwater and sediment	respiration_of_sulfur_compounds	218	1750
Freshwater and sediment	sulfate_respiration	218	347
Freshwater and sediment	sulfite_respiration	3	1463
Freshwater and sediment	sulfur_respiration	1	1636
Freshwater and sediment	ureolysis	88	1155
Freshwater and sediment	acetoclastic_methanogenesis		2
Freshwater and sediment	aerobic_anoxygenic_phototrophy		398
Freshwater and sediment	anoxygenic_photoautotrophy		707
Freshwater and sediment	anoxygenic_photoautotrophy_S_oxidizing		524
Freshwater and sediment	dark_oxidation_of_sulfur_compounds		64
Freshwater and sediment	dark_sulfide_oxidation		130
Freshwater and sediment	dark_sulfur_oxidation		501
Freshwater and sediment	dark_thiosulfate_oxidation		127
Freshwater and sediment	human_gut		120
Freshwater and sediment	mammal_gut		132
Freshwater and sediment	methanogenesis_by_reduction_of_methyl_compounds_with_H2		1
Freshwater and sediment	nitrite_respiration		1015
Freshwater and sediment	nitrogen_fixation		1023
Freshwater and sediment	plant_pathogen		137
Freshwater and sediment	thiosulfate_respiration		1435
Freshwater and sediment	xylanolysis		2558
Hot spring	aerobic_anoxygenic_phototrophy	3	103
Hot spring	aerobic_chemoheterotrophy	140	1342
Hot spring	animal_parasites_or_symbionts	7	10
Hot spring	anoxygenic_photoautotrophy	9	286
Hot spring	anoxygenic_photoautotrophy_S_oxidizing	9	280
Hot spring	cellulolysis	1	93
Hot spring	chemoheterotrophy	193	1780
Hot spring	dark_hydrogen_oxidation	3	477
Hot spring	dark_oxidation_of_sulfur_compounds	4	28
Hot spring	dark_thiosulfate_oxidation	4	109
Hot spring	fermentation	6	412
Hot spring	human_associated	7	6
Hot spring	human_pathogens_all	7	1
Hot spring	intracellular_parasites	5	5
Hot spring	nitrate_reduction	8	476
Hot spring	nitrate_respiration	1	138
Hot spring	nitrogen_respiration	1	94
Hot spring	oxygenic_photoautotrophy	321	324
Hot spring	photoautotrophy	330	608
Hot spring	photoheterotrophy	99	606
Hot spring	phototrophy	429	1012
Hot spring	respiration_of_sulfur_compounds	34	540
Hot spring	sulfate_respiration	34	96
Hot spring	thiosulfate_respiration	6	450
Hot spring	ureolysis	7	415
Hot spring	xylanolysis	4	995
Hot spring	aerobic_ammonia_oxidation		2
Hot spring	aerobic_nitrite_oxidation		4
Hot spring	aliphatic_non_methane_hydrocarbon_degradation		6
Hot spring	aromatic_hydrocarbon_degradation		3
Hot spring	chitinolysis		25
Hot spring	chlorate_reducers		8
Hot spring	dark_iron_oxidation		2
Hot spring	dark_sulfide_oxidation		21
Hot spring	dark_sulfur_oxidation		79
Hot spring	human_gut		7
Hot spring	human_pathogens_pneumonia		1
Hot spring	hydrocarbon_degradation		14
Hot spring	invertebrate_parasites		1
Hot spring	mammal_gut		10
Hot spring	methanogenesis_by_CO2_reduction_with_H2		23
Hot spring	methanol_oxidation		139
Hot spring	methylotrophy		40
Hot spring	nitrification		6
Hot spring	nitrite_respiration		173
Hot spring	nitrogen_fixation		143
Hot spring	plant_pathogen		8
Hot spring	reductive_acetogenesis		5
Hot spring	sulfite_respiration		467
Hot spring	sulfur_respiration		479
Hypersaline lagoon sediment	aerobic_chemoheterotrophy	59	623
Hypersaline lagoon sediment	animal_parasites_or_symbionts	1	80
Hypersaline lagoon sediment	anoxygenic_photoautotrophy	4	21
